14-05-20-03-04-26
Time,C,D,H,C/D,H/D
14-06-25-03-04-26,249.0,1345.0,867.0,18.513011152416357,64.46096654275092
14-07-29-03-04-26,247.0,1359.0,873.0,18.17512877115526,64.23841059602648
14-07-39-03-04-26,257.0,1311.0,890.0,19.60335621662853,67.88710907704044
14-07-54-03-04-26,265.0,1359.0,902.0,19.49963208241354,66.37233259749816
14-08-02-03-04-26,274.0,1358.0,911.0,20.176730486008836,67.0839469808542
14-08-11-03-04-26,248.0,1342.0,885.0,18.479880774962744,65.94634873323399
14-08-20-03-04-26,300.0,1333.0,933.0,22.50562640660165,69.99249812453114
14-08-29-03-04-26,262.0,1351.0,870.0,19.393042190969652,64.39674315321983
14-08-39-03-04-26,249.0,1345.0,940.0,18.513011152416357,69.88847583643123
14-08-47-03-04-26,263.0,1346.0,910.0,19.539375928677565,67.60772659732541
14-08-57-03-04-26,262.0,1331.0,864.0,19.684447783621337,64.91359879789633
14-09-05-03-04-26,262.0,1347.0,879.0,19.45063103192279,65.25612472160356
14-09-13-03-04-26,232.0,1312.0,880.0,17.682926829268293,67.07317073170732
14-09-22-03-04-26,265.0,1333.0,900.0,19.879969992498125,67.51687921980495
14-09-31-03-04-26,256.0,1340.0,869.0,19.1044776119403,64.8507462686567
14-09-40-03-04-26,237.0,1359.0,870.0,17.439293598233995,64.01766004415012
14-09-48-03-04-26,268.0,1339.0,883.0,20.014936519790886,65.94473487677371
14-09-57-03-04-26,268.0,1353.0,908.0,19.807834441980784,67.11012564671101
14-10-05-03-04-26,271.0,1357.0,905.0,19.970523212969788,66.69123065585852
14-10-14-03-04-26,252.0,1360.0,896.0,18.529411764705884,65.88235294117646
14-10-23-03-04-26,247.0,1318.0,878.0,18.740515933232167,66.61608497723824
14-10-31-03-04-26,254.0,1329.0,867.0,19.11211437170805,65.23702031602708
14-10-40-03-04-26,250.0,1330.0,894.0,18.796992481203006,67.21804511278195
14-10-50-03-04-26,246.0,1311.0,867.0,18.76430205949657,66.13272311212815
