STT,C1,C2,D,H,C/D,H/D
0,380,404,2065,1307,0.18401937046004843,0.6329297820823244
1,380,395,2065,1307,0.18401937046004843,0.6329297820823244
2,375,394,2065,1307,0.18159806295399517,0.6329297820823244
3,375,397,2065,1307,0.18159806295399517,0.6329297820823244
4,375,397,2065,1307,0.18159806295399517,0.6329297820823244
5,375,396,2065,1307,0.18159806295399517,0.6329297820823244
6,380,395,2065,1307,0.18401937046004843,0.6329297820823244
7,376,395,2065,1307,0.1820823244552058,0.6329297820823244
8,375,395,2065,1307,0.18159806295399517,0.6329297820823244
9,378,389,2065,1307,0.18305084745762712,0.6329297820823244
10,375,393,2065,1307,0.18159806295399517,0.6329297820823244
11,375,394,2065,1307,0.18159806295399517,0.6329297820823244
12,376,395,2065,1307,0.1820823244552058,0.6329297820823244
13,376,392,2065,1307,0.1820823244552058,0.6329297820823244
14,379,394,2065,1307,0.18353510895883776,0.6329297820823244
15,380,390,2065,1307,0.18401937046004843,0.6329297820823244
16,375,395,2065,1307,0.18159806295399517,0.6329297820823244
17,375,395,2065,1307,0.18159806295399517,0.6329297820823244
18,375,395,2065,1307,0.18159806295399517,0.6329297820823244
19,380,396,2065,1307,0.18401937046004843,0.6329297820823244
20,376,396,2065,1307,0.1820823244552058,0.6329297820823244
21,379,393,2065,1307,0.18353510895883776,0.6329297820823244
22,378,396,2065,1307,0.18305084745762712,0.6329297820823244
23,376,397,2065,1307,0.1820823244552058,0.6329297820823244
24,373,396,2065,1307,0.18062953995157385,0.6329297820823244
25,373,389,2065,1307,0.18062953995157385,0.6329297820823244
26,376,395,2065,1307,0.1820823244552058,0.6329297820823244
27,376,393,2065,1307,0.1820823244552058,0.6329297820823244
28,376,394,2065,1307,0.1820823244552058,0.6329297820823244
29,376,396,2065,1307,0.1820823244552058,0.6329297820823244
30,375,397,2065,1307,0.18159806295399517,0.6329297820823244
31,375,393,2065,1307,0.18159806295399517,0.6329297820823244
32,374,395,2065,1307,0.1811138014527845,0.6329297820823244
33,379,394,2065,1307,0.18353510895883776,0.6329297820823244
34,375,392,2065,1307,0.18159806295399517,0.6329297820823244
35,375,392,2065,1307,0.18159806295399517,0.6329297820823244
36,375,395,2065,1307,0.18159806295399517,0.6329297820823244
37,375,397,2065,1307,0.18159806295399517,0.6329297820823244
38,376,395,2065,1307,0.1820823244552058,0.6329297820823244
39,374,394,2065,1307,0.1811138014527845,0.6329297820823244
40,375,395,2065,1307,0.18159806295399517,0.6329297820823244
41,378,392,2065,1307,0.18305084745762712,0.6329297820823244
42,375,398,2065,1307,0.18159806295399517,0.6329297820823244
43,375,393,2065,1307,0.18159806295399517,0.6329297820823244
44,375,396,2065,1307,0.18159806295399517,0.6329297820823244
45,380,401,2065,1307,0.18401937046004843,0.6329297820823244
46,378,395,2065,1307,0.18305084745762712,0.6329297820823244
47,379,394,2065,1307,0.18353510895883776,0.6329297820823244
48,367,395,2065,1307,0.17772397094430992,0.6329297820823244
49,375,395,2065,1307,0.18159806295399517,0.6329297820823244
Next checktime
0,374,396,2065,1307,0.1811138014527845,0.6329297820823244
1,376,395,2065,1307,0.1820823244552058,0.6329297820823244
2,375,397,2065,1307,0.18159806295399517,0.6329297820823244
3,379,395,2065,1307,0.18353510895883776,0.6329297820823244
4,379,395,2065,1307,0.18353510895883776,0.6329297820823244
5,379,394,2065,1307,0.18353510895883776,0.6329297820823244
6,375,393,2065,1307,0.18159806295399517,0.6329297820823244
7,376,395,2065,1307,0.1820823244552058,0.6329297820823244
8,375,394,2065,1307,0.18159806295399517,0.6329297820823244
9,378,395,2065,1307,0.18305084745762712,0.6329297820823244
10,378,395,2065,1307,0.18305084745762712,0.6329297820823244
11,380,394,2065,1307,0.18401937046004843,0.6329297820823244
12,376,396,2065,1307,0.1820823244552058,0.6329297820823244
13,379,389,2065,1307,0.18353510895883776,0.6329297820823244
14,376,395,2065,1307,0.1820823244552058,0.6329297820823244
15,379,397,2065,1307,0.18353510895883776,0.6329297820823244
16,376,399,2065,1307,0.1820823244552058,0.6329297820823244
17,379,389,2065,1307,0.18353510895883776,0.6329297820823244
18,379,389,2065,1307,0.18353510895883776,0.6329297820823244
19,375,392,2065,1307,0.18159806295399517,0.6329297820823244
20,375,397,2065,1307,0.18159806295399517,0.6329297820823244
21,375,392,2065,1307,0.18159806295399517,0.6329297820823244
22,375,395,2065,1307,0.18159806295399517,0.6329297820823244
23,375,395,2065,1307,0.18159806295399517,0.6329297820823244
24,375,395,2065,1307,0.18159806295399517,0.6329297820823244
25,375,395,2065,1307,0.18159806295399517,0.6329297820823244
26,379,400,2065,1307,0.18353510895883776,0.6329297820823244
27,375,399,2065,1307,0.18159806295399517,0.6329297820823244
28,375,390,2065,1307,0.18159806295399517,0.6329297820823244
29,375,393,2065,1307,0.18159806295399517,0.6329297820823244
30,375,395,2065,1307,0.18159806295399517,0.6329297820823244
31,374,402,2065,1307,0.1811138014527845,0.6329297820823244
32,375,394,2065,1307,0.18159806295399517,0.6329297820823244
33,374,393,2065,1307,0.1811138014527845,0.6329297820823244
34,373,399,2065,1307,0.18062953995157385,0.6329297820823244
35,376,395,2065,1307,0.1820823244552058,0.6329297820823244
36,375,394,2065,1307,0.18159806295399517,0.6329297820823244
37,375,395,2065,1307,0.18159806295399517,0.6329297820823244
38,374,396,2065,1307,0.1811138014527845,0.6329297820823244
39,379,393,2065,1307,0.18353510895883776,0.6329297820823244
40,375,395,2065,1307,0.18159806295399517,0.6329297820823244
41,373,394,2065,1307,0.18062953995157385,0.6329297820823244
42,379,397,2065,1307,0.18353510895883776,0.6329297820823244
43,375,398,2065,1307,0.18159806295399517,0.6329297820823244
44,379,393,2065,1307,0.18353510895883776,0.6329297820823244
45,376,395,2065,1307,0.1820823244552058,0.6329297820823244
46,376,395,2065,1307,0.1820823244552058,0.6329297820823244
47,373,395,2065,1307,0.18062953995157385,0.6329297820823244
48,375,395,2065,1307,0.18159806295399517,0.6329297820823244
49,375,395,2065,1307,0.18159806295399517,0.6329297820823244
Next checktime
0,375,389,2065,1307,0.18159806295399517,0.6329297820823244
1,376,396,2065,1307,0.1820823244552058,0.6329297820823244
2,379,394,2065,1307,0.18353510895883776,0.6329297820823244
3,375,395,2065,1307,0.18159806295399517,0.6329297820823244
4,376,395,2065,1307,0.1820823244552058,0.6329297820823244
5,375,395,2065,1307,0.18159806295399517,0.6329297820823244
6,375,391,2065,1307,0.18159806295399517,0.6329297820823244
7,376,396,2065,1307,0.1820823244552058,0.6329297820823244
8,373,397,2065,1307,0.18062953995157385,0.6329297820823244
9,375,395,2065,1307,0.18159806295399517,0.6329297820823244
10,375,395,2065,1307,0.18159806295399517,0.6329297820823244
11,379,393,2065,1307,0.18353510895883776,0.6329297820823244
12,377,396,2065,1307,0.18256658595641648,0.6329297820823244
13,376,396,2065,1307,0.1820823244552058,0.6329297820823244
14,379,401,2065,1307,0.18353510895883776,0.6329297820823244
15,376,394,2065,1307,0.1820823244552058,0.6329297820823244
16,369,395,2065,1307,0.17869249394673123,0.6329297820823244
17,375,398,2065,1307,0.18159806295399517,0.6329297820823244
18,379,395,2065,1307,0.18353510895883776,0.6329297820823244
19,375,395,2065,1307,0.18159806295399517,0.6329297820823244
20,375,395,2065,1307,0.18159806295399517,0.6329297820823244
21,375,397,2065,1307,0.18159806295399517,0.6329297820823244
22,375,389,2065,1307,0.18159806295399517,0.6329297820823244
23,375,395,2065,1307,0.18159806295399517,0.6329297820823244
24,375,399,2065,1307,0.18159806295399517,0.6329297820823244
25,375,397,2065,1307,0.18159806295399517,0.6329297820823244
26,376,399,2065,1307,0.1820823244552058,0.6329297820823244
27,375,395,2065,1307,0.18159806295399517,0.6329297820823244
28,379,407,2065,1307,0.18353510895883776,0.6329297820823244
29,380,394,2065,1307,0.18401937046004843,0.6329297820823244
30,376,396,2065,1307,0.1820823244552058,0.6329297820823244
31,375,398,2065,1307,0.18159806295399517,0.6329297820823244
32,379,392,2065,1307,0.18353510895883776,0.6329297820823244
33,375,395,2065,1307,0.18159806295399517,0.6329297820823244
34,379,400,2065,1307,0.18353510895883776,0.6329297820823244
35,375,394,2065,1307,0.18159806295399517,0.6329297820823244
36,375,395,2065,1307,0.18159806295399517,0.6329297820823244
37,376,398,2065,1307,0.1820823244552058,0.6329297820823244
38,374,393,2065,1307,0.1811138014527845,0.6329297820823244
39,375,395,2065,1307,0.18159806295399517,0.6329297820823244
40,375,395,2065,1307,0.18159806295399517,0.6329297820823244
41,376,396,2065,1307,0.1820823244552058,0.6329297820823244
42,380,394,2065,1307,0.18401937046004843,0.6329297820823244
43,375,394,2065,1307,0.18159806295399517,0.6329297820823244
44,376,396,2065,1307,0.1820823244552058,0.6329297820823244
45,375,394,2065,1307,0.18159806295399517,0.6329297820823244
46,375,395,2065,1307,0.18159806295399517,0.6329297820823244
47,379,395,2065,1307,0.18353510895883776,0.6329297820823244
48,375,395,2065,1307,0.18159806295399517,0.6329297820823244
49,375,389,2065,1307,0.18159806295399517,0.6329297820823244
Next checktime
0,379,397,2065,1307,0.18353510895883776,0.6329297820823244
1,374,395,2065,1307,0.1811138014527845,0.6329297820823244
2,375,395,2065,1307,0.18159806295399517,0.6329297820823244
3,375,395,2065,1307,0.18159806295399517,0.6329297820823244
4,378,394,2065,1307,0.18305084745762712,0.6329297820823244
5,375,389,2065,1307,0.18159806295399517,0.6329297820823244
6,375,392,2065,1307,0.18159806295399517,0.6329297820823244
7,375,399,2065,1307,0.18159806295399517,0.6329297820823244
8,375,393,2065,1307,0.18159806295399517,0.6329297820823244
9,375,395,2065,1307,0.18159806295399517,0.6329297820823244
10,375,395,2065,1307,0.18159806295399517,0.6329297820823244
