STT,C1,C2,D,H,C1/D,C2/D,H/D
0,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
1,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
2,375,398,2061,1307,0.1819505094614265,0.193110140708394,0.6341581756428918
3,382,398,2060,1307,0.18543689320388348,0.19320388349514564,0.6344660194174757
4,382,405,2060,1307,0.18543689320388348,0.1966019417475728,0.6344660194174757
5,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
6,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
7,374,401,2060,1307,0.18155339805825244,0.19466019417475727,0.6344660194174757
8,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
9,375,404,2060,1307,0.1820388349514563,0.19611650485436893,0.6344660194174757
10,375,400,2060,1307,0.1820388349514563,0.1941747572815534,0.6344660194174757
11,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
12,375,400,2060,1307,0.1820388349514563,0.1941747572815534,0.6344660194174757
13,375,396,2060,1307,0.1820388349514563,0.19223300970873786,0.6344660194174757
14,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
15,378,399,2061,1307,0.18340611353711792,0.19359534206695778,0.6341581756428918
16,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
17,380,398,2060,1306,0.18446601941747573,0.19320388349514564,0.6339805825242718
18,375,400,2060,1307,0.1820388349514563,0.1941747572815534,0.6344660194174757
19,375,400,2060,1307,0.1820388349514563,0.1941747572815534,0.6344660194174757
20,382,399,2060,1306,0.18543689320388348,0.19368932038834952,0.6339805825242718
21,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
22,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
23,374,401,2060,1307,0.18155339805825244,0.19466019417475727,0.6344660194174757
24,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
25,380,397,2060,1307,0.18446601941747573,0.19271844660194173,0.6344660194174757
26,375,398,2061,1307,0.1819505094614265,0.193110140708394,0.6341581756428918
27,376,400,2060,1307,0.1825242718446602,0.1941747572815534,0.6344660194174757
28,375,393,2060,1306,0.1820388349514563,0.19077669902912622,0.6339805825242718
29,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
30,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
31,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
32,374,400,2061,1307,0.18146530810286268,0.19408054342552158,0.6341581756428918
33,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
34,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
35,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
