11-10-41-03-04-26
Time,C,D,H,C/D,H/D
11-12-04-03-04-26,466.0,2764.0,1758.0,16.859623733719246,63.60347322720694
11-12-38-03-04-26,459.0,2763.0,1743.0,16.612377850162865,63.08360477741585
11-13-41-03-04-26,464.0,2763.0,1741.0,16.7933405718422,63.01121968874411
11-14-16-03-04-26,458.0,2763.0,1741.0,16.576185305827,63.01121968874411
11-15-04-03-04-26,458.0,2763.0,1741.0,16.576185305827,63.01121968874411
11-15-21-03-04-26,460.0,2763.0,1743.0,16.648570394498734,63.08360477741585
11-15-58-03-04-26,462.0,2763.0,1741.0,16.720955483170467,63.01121968874411
11-16-23-03-04-26,458.0,2763.0,1741.0,16.576185305827,63.01121968874411
11-17-11-03-04-26,462.0,2763.0,1742.0,16.720955483170467,63.04741223307998
11-17-27-03-04-26,459.0,2764.0,1740.0,16.606367583212737,62.95224312590448
11-17-43-03-04-26,465.0,2763.0,1744.0,16.829533116178066,63.11979732175171
11-18-15-03-04-26,460.0,2763.0,1739.0,16.648570394498734,62.93883460007238
11-18-37-03-04-26,462.0,2763.0,1740.0,16.720955483170467,62.975027144408244
11-18-54-03-04-26,463.0,2763.0,1740.0,16.757148027506332,62.975027144408244
