2026-03-19 14:44:32.874801: Start monitoring...
Time,STT,CD X,CD Y,CD D,CXP X,CXP Y,CHP Z
2026-03-19 14:49:06.970197,0,4,-1,1381,-3,19,317
2026-03-19 14:49:56.270583,1,5,-2,1415,-6,17,344
2026-03-19 14:50:20.770424,2,5,-1,1370,-1,6,306
2026-03-19 14:50:44.972272,3,5,-2,1389,0,8,450
2026-03-19 14:51:18.672761,4,4,-1,1359,1,29,269
2026-03-19 14:51:33.573160,5,5,-1,1394,-8,7,344
2026-03-19 14:51:45.272402,6,6,-1,1375,-16,15,364
2026-03-19 14:52:03.273017,7,5,-1,1374,-4,14,352
2026-03-19 14:52:14.273709,8,4,-1,1376,4,19,321
2026-03-19 14:52:26.373783,9,5,-2,1372,-11,16,206
2026-03-19 14:52:37.473561,10,5,-1,1383,-19,-7,355
2026-03-19 14:52:48.673350,11,40,-29,1399,21,31,323
2026-03-19 14:54:48.775307,12,5,-1,1413,-12,27,321
2026-03-19 14:54:59.874451,13,5,0,1401,4,13,352
2026-03-19 14:55:10.976409,14,6,-1,1406,-2,14,323
2026-03-19 14:55:22.177122,15,6,-2,1379,-7,11,356
2026-03-19 14:55:33.175843,16,5,0,1398,-33,-4,204
2026-03-19 14:55:44.277032,17,6,-1,1371,-5,10,306
2026-03-19 14:55:55.477408,18,6,0,1369,-18,17,370
2026-03-19 14:56:14.276522,19,6,-2,1385,7,11,385
2026-03-19 14:58:21.878984,20,6,-1,1385,-7,17,332
