15-09-47-08-04-26-: Start monitoring...
Time,STT,CD X,CD Y,CD D,CXP X,CXP Y,CHP Z
15-12-04-08-04-26-,0,7,-10,1605,-17,22,355
15-12-46-08-04-26-,1,4,-7,1588,-5,15,177
15-14-37-08-04-26-,2,16,17,1566,-9,10,220
15-29-45-08-04-26-,3,7,-7,1586,6,14,379
15-33-23-08-04-26-,4,9,-14,1610,6,9,353
15-33-44-08-04-26-,5,6,-8,1592,5,21,382
15-34-05-08-04-26-,6,3,-12,1591,13,11,395
15-34-26-08-04-26-,7,9,-6,1596,-3,5,364
15-34-47-08-04-26-,8,8,-10,1588,-5,-11,-32
15-35-06-08-04-26-,9,6,-10,1595,-19,24,334
15-35-16-08-04-26-,10,9,-10,1589,3,21,377
15-35-26-08-04-26-,11,8,-11,1591,9,7,376
15-35-37-08-04-26-,12,8,-11,1593,3,6,352
15-35-47-08-04-26-,13,9,-9,1598,-1,15,339
15-35-57-08-04-26-,14,8,-5,1600,3,11,395
15-36-39-08-04-26-,15,8,-5,1600,0,23,334
15-38-06-08-04-26-,16,8,-9,1589,-5,-5,330
15-38-36-08-04-26-,17,8,-9,1589,0,-2,344
15-39-00-08-04-26-,18,8,-9,1582,-13,21,390
15-39-21-08-04-26-,19,11,-6,1588,2,10,345
15-40-28-08-04-26-,20,10,-10,1603,-24,-10,322
15-40-38-08-04-26-,21,9,-7,1593,0,5,381
15-40-48-08-04-26-,22,20,-7,1584,-7,32,371
15-40-58-08-04-26-,23,11,-9,1587,5,14,457
15-41-08-08-04-26-,24,7,-8,1594,3,3,376
15-41-18-08-04-26-,25,10,-10,1589,0,9,367
15-41-28-08-04-26-,26,7,-7,1588,0,-4,364
15-41-37-08-04-26-,27,8,-8,1579,9,3,368
15-41-47-08-04-26-,28,9,-5,1600,7,39,380
15-41-57-08-04-26-,29,6,-7,1586,-3,7,366
15-42-07-08-04-26-,30,7,-6,1592,8,12,368
15-42-16-08-04-26-,31,4,-8,1594,-7,3,386
15-42-35-08-04-26-,32,10,-5,1573,-28,-17,348
15-42-45-08-04-26-,33,7,-7,1597,2,19,380
15-43-49-08-04-26-,34,3,-9,1599,12,8,380
15-43-59-08-04-26-,35,13,-11,1602,0,8,366
15-44-14-08-04-26-,36,15,-6,1585,1,4,384
