13-20-32-23-03-26-: Start monitoring...,,,,,
Time,STT,CU OK/NG,CU Pot,CU Gap Min,CU Gap Max
13-28-39-23-03-26-,0,1,0,29,31
13-29-03-23-03-26-,1,1,0,30,32
13-29-29-23-03-26-,2,1,0,31,40
13-31-37-23-03-26-,3,1,0,36,39
13-36-55-23-03-26-,4,1,0,32,35
13-37-18-23-03-26-,5,1,0,35,36
13-37-27-23-03-26-,6,1,0,37,37
13-39-14-23-03-26-,7,1,0,36,39
13-40-00-23-03-26-,8,1,0,34,37
13-41-14-23-03-26-,9,1,0,39,40
13-42-38-23-03-26-,10,1,0,34,34
13-43-30-23-03-26-,11,1,0,0,0
13-43-41-23-03-26-,12,1,0,31,33
13-43-52-23-03-26-,13,1,0,38,41
13-45-14-23-03-26-,14,1,0,28,36
13-45-31-23-03-26-,15,1,0,32,36
13-45-43-23-03-26-,16,1,0,30,34
13-46-05-23-03-26-,17,1,0,38,39
13-46-16-23-03-26-,18,1,0,0,0
13-46-22-23-03-26-,19,1,0,0,0
