14-54-40-23-03-26-: Start monitoring...
Time,STT,CU OK/NG,CU Pot,CU Gap Min,CU Gap Max
15-01-00-23-03-26-,0,1,0,24,25
15-01-33-23-03-26-,1,1,0,30,34
15-02-56-23-03-26-,2,1,0,35,39
15-04-47-23-03-26-,3,1,0,35,38
15-04-58-23-03-26-,4,1,0,32,35
15-05-39-23-03-26-,5,1,0,30,33
15-05-58-23-03-26-,6,1,0,28,32
15-06-46-23-03-26-,7,1,0,31,49
15-08-24-23-03-26-,8,1,0,0,0
15-09-07-23-03-26-,9,1,0,31,34
15-09-32-23-03-26-,10,1,0,31,36
15-10-53-23-03-26-,11,1,0,33,36
15-14-09-23-03-26-,12,1,0,33,37
15-15-27-23-03-26-,13,1,0,28,30
15-16-21-23-03-26-,14,1,0,30,35
15-16-48-23-03-26-,15,1,0,31,33
15-17-00-23-03-26-,16,1,0,28,32
15-17-17-23-03-26-,17,1,0,32,34
15-17-22-23-03-26-,18,1,0,33,36
